District,Soil_Color,N,P,K,pH,Rainfall,Temperature,Crop,Fertilizer,OC,EC,B,Fe,Mn,Cu,Zn,S,District_Normal_Rainfall,Humidity,N_P_Ratio,N_K_Ratio,P_K_Ratio,Rainfall_Deviation,OC_Class,Soil_Health_Score,Growing_Season
Kolhapur,Black,40,25,25,6.5,700,30,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,77.1,1.5994,1.5994,0.9996,-0.5961,High,7,Kharif
Sangli,Red,75,55,50,7.5,900,30,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,83.7,1.3634,1.4997,1.0998,0.7493,Medium,6,Kharif
Sangli,Red,60,45,45,6.5,900,30,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,84.64,1.333,1.333,0.9998,0.7493,Medium,6,Kharif
Pune,Black,70,30,40,6.0,700,25,Sorghum,SSP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,71.94,2.3326,1.7496,0.7498,-0.1876,Medium,6,Kharif
Pune,Black,65,30,40,6.0,700,25,Sorghum,SSP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,78.12,2.1659,1.6246,0.7498,-0.1876,Medium,6,Kharif
Sangli,Red,70,50,40,6.5,900,30,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,82.66,1.3997,1.7496,1.2497,0.7493,Medium,6,Kharif
Satara,Black,45,40,35,6.0,400,25,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,59.49,1.1247,1.2853,1.1425,-0.5486,Low,5,Kharif
Satara,Black,50,25,30,7.0,400,25,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,56.94,1.9992,1.6661,0.8331,-0.5486,Low,5,Kharif
Sangli,Red,70,45,55,7.5,900,30,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,84.02,1.5552,1.2725,0.818,0.7493,Medium,6,Kharif
Pune,Black,65,35,35,6.5,800,30,Sorghum,10:26:26 NPK,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,79.16,1.8566,1.8566,0.9997,-0.0715,Medium,6,Kharif
Sangli,Red,75,50,50,7.0,800,25,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,78.83,1.4997,1.4997,0.9998,0.5549,Medium,6,Kharif
Pune,Black,65,30,35,6.0,700,25,Sorghum,Urea,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,73.82,2.1659,1.8566,0.8569,-0.1876,Medium,6,Kharif
Pune,Black,65,40,35,7.0,900,35,Sorghum,SSP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,84.92,1.6246,1.8566,1.1425,0.0446,Medium,6,Kharif
Satara,Black,40,30,25,7.0,500,30,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,63.34,1.3329,1.5994,1.1995,-0.4358,Low,5,Kharif
Solapur,Red,50,35,25,7.0,700,25,Sorghum,10:26:26 NPK,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,77.99,1.4282,1.9992,1.3994,0.455,Medium,6,Kharif
Satara,Black,40,25,25,6.5,500,30,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,61.99,1.5994,1.5994,0.9996,-0.4358,Low,5,Kharif
Sangli,Red,70,55,60,6.0,800,25,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,79.83,1.2725,1.1665,0.9165,0.5549,Medium,6,Kharif
Kolhapur,Black,25,25,40,6.5,600,30,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,67.94,0.9996,0.6248,0.6248,-0.6538,High,6,Kharif
Kolhapur,Black,40,20,25,7.0,800,25,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,81.63,1.999,1.5994,0.7997,-0.5384,High,6,Kharif
Satara,Black,60,25,35,7.5,600,35,Sorghum,SSP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,66.34,2.399,1.7138,0.7141,-0.323,Low,5,Kharif
Kolhapur,Black,30,30,30,7.0,700,30,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,70.02,0.9997,0.9997,0.9997,-0.5961,High,6,Kharif
Kolhapur,Black,40,25,40,6.5,600,30,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,70.94,1.5994,0.9998,0.6248,-0.6538,High,7,Kharif
Sangli,Red,60,45,60,6.0,800,25,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,79.75,1.333,0.9998,0.7499,0.5549,Medium,6,Kharif
Pune,Black,50,30,30,6.0,700,25,Sorghum,10:26:26 NPK,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,74.39,1.6661,1.6661,0.9997,-0.1876,Medium,6,Kharif
Pune,Black,70,35,40,6.5,800,30,Sorghum,Urea,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,80.77,1.9994,1.7496,0.8748,-0.0715,Medium,6,Kharif
Satara,Black,60,35,35,7.5,400,25,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,63.08,1.7138,1.7138,0.9997,-0.5486,Low,5,Kharif
Satara,Black,55,20,35,7.5,400,25,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,62.15,2.7486,1.571,0.5713,-0.5486,Low,4,Kharif
Sangli,Red,75,50,60,6.0,800,25,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,77.22,1.4997,1.2498,0.8332,0.5549,Medium,6,Kharif
Pune,Black,55,30,40,6.0,700,25,Sorghum,SSP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,77.29,1.8327,1.3747,0.7498,-0.1876,Medium,6,Kharif
Sangli,Red,75,55,40,6.5,900,30,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,85.03,1.3634,1.8745,1.3747,0.7493,Medium,6,Kharif
Kolhapur,Black,40,20,20,6.0,600,25,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,67.88,1.999,1.999,0.9995,-0.6538,High,6,Kharif
Solapur,Red,55,40,30,7.5,600,30,Sorghum,10:26:26 NPK,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,64.15,1.3747,1.8327,1.3329,0.2471,Medium,6,Kharif
Sangli,Red,65,45,55,7.5,900,30,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,83.52,1.4441,1.1816,0.818,0.7493,Medium,6,Kharif
Pune,Black,50,35,35,6.5,800,30,Sorghum,10:26:26 NPK,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,81.62,1.4282,1.4282,0.9997,-0.0715,Medium,6,Kharif
Sangli,Red,60,40,45,6.5,900,30,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,82.37,1.4996,1.333,0.8887,0.7493,Medium,6,Kharif
Satara,Black,60,20,30,7.0,500,30,Sorghum,SSP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,64.59,2.9985,1.9993,0.6664,-0.4358,Low,4,Kharif
Satara,Black,40,30,30,7.0,600,35,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,66.91,1.3329,1.3329,0.9997,-0.323,Low,5,Kharif
Kolhapur,Black,30,25,40,6.5,600,30,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,70.03,1.1995,0.7498,0.6248,-0.6538,High,6,Kharif
Pune,Black,70,30,30,6.0,700,25,Sorghum,10:26:26 NPK,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,71.18,2.3326,2.3326,0.9997,-0.1876,Medium,6,Kharif
Kolhapur,Black,40,30,25,7.0,700,25,Sorghum,Urea,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,75.59,1.3329,1.5994,1.1995,-0.5961,High,7,Kharif
Satara,Black,50,20,25,6.5,600,35,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,65.35,2.4988,1.9992,0.7997,-0.323,Low,4,Kharif
Sangli,Red,65,60,45,6.0,800,25,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,78.55,1.0832,1.4441,1.333,0.5549,Medium,6,Kharif
Satara,Black,45,20,35,7.5,400,25,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,61.37,2.2489,1.2853,0.5713,-0.5486,Low,4,Kharif
Sangli,Red,75,45,45,6.5,900,30,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,83.64,1.6663,1.6663,0.9998,0.7493,Medium,6,Kharif
Satara,Black,60,35,25,7.0,400,25,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,59.23,1.7138,2.399,1.3994,-0.5486,Low,5,Kharif
Sangli,Red,80,50,50,7.0,800,25,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,80.66,1.5997,1.5997,0.9998,0.5549,Medium,7,Kharif
Satara,Black,55,20,30,7.0,500,30,Sorghum,SSP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,64.53,2.7486,1.8327,0.6664,-0.4358,Low,4,Kharif
Sangli,Red,60,60,45,7.0,800,25,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,76.06,0.9998,1.333,1.333,0.5549,Medium,6,Kharif
Pune,Black,55,30,35,6.0,700,25,Sorghum,Urea,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,72.94,1.8327,1.571,0.8569,-0.1876,Medium,6,Kharif
Satara,Black,45,25,40,6.0,500,30,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,61.24,1.7993,1.1247,0.6248,-0.4358,Low,5,Kharif
Satara,Black,40,40,40,6.0,500,30,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,61.75,0.9998,0.9998,0.9998,-0.4358,Low,5,Kharif
Pune,Black,55,40,30,7.0,900,35,Sorghum,Urea,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,83.49,1.3747,1.8327,1.3329,0.0446,Medium,6,Kharif
Satara,Black,40,40,35,6.0,400,25,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,61.1,0.9998,1.1425,1.1425,-0.5486,Low,5,Kharif
Satara,Black,40,35,40,6.0,600,35,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,67.95,1.1425,0.9998,0.8748,-0.323,Low,5,Kharif
Satara,Black,60,40,20,6.5,400,25,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,62.76,1.4996,2.9985,1.999,-0.5486,Low,5,Kharif
Sangli,Red,75,40,55,7.5,900,30,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,80.41,1.8745,1.3634,0.7271,0.7493,Medium,6,Kharif
Kolhapur,Black,25,30,40,7.0,700,30,Sorghum,Urea,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,74.52,0.8331,0.6248,0.7498,-0.5961,High,6,Kharif
Sangli,Red,70,50,60,6.0,800,25,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,77.97,1.3997,1.1665,0.8332,0.5549,Medium,6,Kharif
Satara,Black,50,30,25,7.0,500,30,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,61.83,1.6661,1.9992,1.1995,-0.4358,Low,5,Kharif
Sangli,Red,65,40,40,6.0,800,25,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,79.26,1.6246,1.6246,0.9998,0.5549,Medium,6,Kharif
Sangli,Red,75,40,60,6.0,800,25,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,78.77,1.8745,1.2498,0.6666,0.5549,Medium,6,Kharif
Kolhapur,Black,40,35,40,7.5,800,30,Sorghum,SSP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,79.14,1.1425,0.9998,0.8748,-0.5384,High,7,Kharif
Satara,Black,50,30,30,7.0,600,35,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,71.35,1.6661,1.6661,0.9997,-0.323,Low,5,Kharif
Pune,Black,50,35,40,6.5,800,30,Sorghum,Urea,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,79.14,1.4282,1.2497,0.8748,-0.0715,Medium,6,Kharif
Satara,Black,60,35,20,6.5,500,30,Sorghum,SSP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,65.49,1.7138,2.9985,1.7491,-0.4358,Low,5,Kharif
Kolhapur,Black,25,30,30,7.0,700,30,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,74.18,0.8331,0.8331,0.9997,-0.5961,High,6,Kharif
Sangli,Red,80,45,55,7.5,900,30,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,83.67,1.7774,1.4543,0.818,0.7493,Medium,7,Kharif
Sangli,Red,65,60,50,7.5,900,30,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,81.15,1.0832,1.2997,1.1998,0.7493,Medium,6,Kharif
Kolhapur,Black,20,35,35,7.5,800,25,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,82.96,0.5713,0.5713,0.9997,-0.5384,High,6,Kharif
Satara,Black,55,20,40,6.0,600,35,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,69.63,2.7486,1.3747,0.4999,-0.323,Low,4,Kharif
Satara,Black,60,20,20,6.0,400,25,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,58.16,2.9985,2.9985,0.9995,-0.5486,Low,4,Kharif
Solapur,Red,50,30,25,6.5,700,20,Sorghum,Urea,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,77.47,1.6661,1.9992,1.1995,0.455,Medium,6,Kharif
Satara,Black,60,35,30,7.5,600,35,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,69.09,1.7138,1.9993,1.1663,-0.323,Low,5,Kharif
Sangli,Red,60,50,50,7.0,800,25,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,80.36,1.1998,1.1998,0.9998,0.5549,Medium,6,Kharif
Sangli,Red,80,60,50,7.5,900,30,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,86.48,1.3331,1.5997,1.1998,0.7493,Medium,7,Kharif
Satara,Black,45,30,25,7.0,500,30,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,62.78,1.4995,1.7993,1.1995,-0.4358,Low,5,Kharif
Sangli,Red,70,60,45,7.0,800,25,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,81.62,1.1665,1.5552,1.333,0.5549,Medium,6,Kharif
Sangli,Red,60,40,60,6.0,800,25,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,80.76,1.4996,0.9998,0.6666,0.5549,Medium,6,Kharif
Solapur,Red,60,40,20,7.5,700,30,Sorghum,Urea,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,74.59,1.4996,2.9985,1.999,0.455,Medium,6,Kharif
Sangli,Red,65,60,60,6.0,800,25,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,80.55,1.0832,1.0832,0.9998,0.5549,Medium,6,Kharif
Satara,Black,55,40,20,6.5,400,25,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,63.5,1.3747,2.7486,1.999,-0.5486,Low,5,Kharif
Sangli,Red,75,50,45,7.0,800,25,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,78.95,1.4997,1.6663,1.1109,0.5549,Medium,6,Kharif
Solapur,Red,60,30,30,6.5,600,20,Sorghum,SSP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,70.93,1.9993,1.9993,0.9997,0.2471,Medium,6,Kharif
Kolhapur,Black,40,25,20,7.5,600,30,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,71.61,1.5994,1.999,1.2494,-0.6538,High,7,Kharif
Satara,Black,60,40,40,6.0,500,30,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,65.1,1.4996,1.4996,0.9998,-0.4358,Low,5,Kharif
Solapur,Red,50,40,25,7.5,600,30,Sorghum,SSP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,67.38,1.2497,1.9992,1.5994,0.2471,Medium,6,Kharif
Satara,Black,60,35,40,6.0,600,35,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,67.74,1.7138,1.4996,0.8748,-0.323,Low,5,Kharif
Sangli,Red,80,60,45,7.0,800,25,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,80.84,1.3331,1.7774,1.333,0.5549,Medium,7,Kharif
Solapur,Red,55,40,25,7.5,600,30,Sorghum,SSP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,69.4,1.3747,2.1991,1.5994,0.2471,Medium,6,Kharif
Satara,Black,60,40,35,6.0,400,25,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,60.17,1.4996,1.7138,1.1425,-0.5486,Low,5,Kharif
Kolhapur,Black,50,20,25,7.0,800,25,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,80.45,2.4988,1.9992,0.7997,-0.5384,High,6,Kharif
Kolhapur,Black,35,30,25,7.0,700,25,Sorghum,Urea,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,72.07,1.1663,1.3994,1.1995,-0.5961,High,6,Kharif
Kolhapur,Black,30,30,40,7.0,700,30,Sorghum,Urea,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,73.85,0.9997,0.7498,0.7498,-0.5961,High,6,Kharif
Satara,Black,40,40,20,6.5,400,25,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,61.65,0.9998,1.999,1.999,-0.5486,Low,5,Kharif
Satara,Black,55,40,40,6.0,500,30,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,64.54,1.3747,1.3747,0.9998,-0.4358,Low,5,Kharif
Kolhapur,Black,45,20,25,7.0,800,25,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,77.54,2.2489,1.7993,0.7997,-0.5384,High,6,Kharif
Sangli,Red,65,50,45,7.0,800,25,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,79.7,1.2997,1.4441,1.1109,0.5549,Medium,6,Kharif
Sangli,Red,60,55,45,7.0,800,25,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,80.98,1.0907,1.333,1.222,0.5549,Medium,6,Kharif
Pune,Black,50,30,35,6.0,700,25,Sorghum,Urea,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,77.47,1.6661,1.4282,0.8569,-0.1876,Medium,6,Kharif
Sangli,Red,75,50,40,6.5,900,30,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,86.34,1.4997,1.8745,1.2497,0.7493,Medium,6,Kharif
Pune,Black,70,35,30,6.5,800,30,Sorghum,SSP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,78.09,1.9994,2.3326,1.1663,-0.0715,Medium,6,Kharif
Satara,Black,45,20,25,6.5,600,35,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,68.78,2.2489,1.7993,0.7997,-0.323,Low,4,Kharif
Satara,Black,50,40,20,6.5,400,25,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,56.79,1.2497,2.4988,1.999,-0.5486,Low,5,Kharif
Sangli,Red,80,40,40,6.0,800,25,Sorghum,10:26:26 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,81.04,1.9995,1.9995,0.9998,0.5549,Medium,7,Kharif
Solapur,Red,60,35,30,7.0,600,25,Sorghum,Urea,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,68.94,1.7138,1.9993,1.1663,0.2471,Medium,6,Kharif
Sangli,Red,70,45,40,6.5,900,30,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,87.22,1.5552,1.7496,1.1247,0.7493,Medium,6,Kharif
Satara,Black,60,40,30,7.5,500,30,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,62.62,1.4996,1.9993,1.3329,-0.4358,Low,5,Kharif
Sangli,Red,75,45,40,6.5,900,30,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,85.66,1.6663,1.8745,1.1247,0.7493,Medium,6,Kharif
Satara,Black,40,40,30,7.5,500,30,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,63.91,0.9998,1.3329,1.3329,-0.4358,Low,5,Kharif
Sangli,Red,80,40,45,6.5,900,30,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,82.05,1.9995,1.7774,0.8887,0.7493,Medium,7,Kharif
Sangli,Red,75,60,45,7.0,800,25,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,78.01,1.2498,1.6663,1.333,0.5549,Medium,6,Kharif
Satara,Black,60,25,40,6.0,500,30,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,63.54,2.399,1.4996,0.6248,-0.4358,Low,5,Kharif
Satara,Black,50,40,30,7.5,500,30,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,60.16,1.2497,1.6661,1.3329,-0.4358,Low,5,Kharif
Sangli,Red,80,40,50,7.0,800,25,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,79.18,1.9995,1.5997,0.7998,0.5549,Medium,7,Kharif
Satara,Black,55,40,35,6.0,400,25,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,60.66,1.3747,1.571,1.1425,-0.5486,Low,5,Kharif
Sangli,Red,75,40,50,7.0,800,25,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,81.17,1.8745,1.4997,0.7998,0.5549,Medium,6,Kharif
Satara,Black,40,25,30,7.0,400,25,Sorghum,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,59.54,1.5994,1.3329,0.8331,-0.5486,Low,5,Kharif
Kolhapur,Black,35,30,40,7.0,700,30,Sorghum,Urea,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,70.16,1.1663,0.8748,0.7498,-0.5961,High,6,Kharif
Kolhapur,Black,25,35,35,7.5,800,25,Sorghum,10:26:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,78.96,0.7141,0.7141,0.9997,-0.5384,High,6,Kharif
Sangli,Red,65,55,60,6.0,800,25,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,75.85,1.1816,1.0832,0.9165,0.5549,Medium,6,Kharif
Satara,Black,45,30,20,6.5,600,35,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,65.32,1.4995,2.2489,1.4993,-0.323,Low,5,Kharif
Sangli,Red,60,50,60,6.0,800,25,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,80.42,1.1998,0.9998,0.8332,0.5549,Medium,6,Kharif
Satara,Black,55,30,30,7.0,600,35,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,70.68,1.8327,1.8327,0.9997,-0.323,Low,5,Kharif
Satara,Black,40,25,40,6.0,500,30,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,62.43,1.5994,0.9998,0.6248,-0.4358,Low,5,Kharif
Sangli,Red,70,55,50,7.5,900,30,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,83.27,1.2725,1.3997,1.0998,0.7493,Medium,6,Kharif
Sangli,Red,65,45,50,7.0,800,25,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,81.33,1.4441,1.2997,0.8998,0.5549,Medium,6,Kharif
Satara,Black,55,35,35,7.5,400,25,Sorghum,10:26:26 NPK,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,61.64,1.571,1.571,0.9997,-0.5486,Low,5,Kharif
Pune,Black,65,40,40,7.0,900,35,Sorghum,10:26:26 NPK,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,82.77,1.6246,1.6246,0.9998,0.0446,Medium,6,Kharif
Sangli,Red,75,60,40,6.5,900,30,Sorghum,Urea,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,82.9,1.2498,1.8745,1.4996,0.7493,Medium,6,Kharif
Pune,Black,70,40,30,7.0,900,35,Sorghum,Urea,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,82.6,1.7496,2.3326,1.3329,0.0446,Medium,6,Kharif
Sangli,Red,75,45,55,7.5,900,30,Sorghum,SSP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,83.35,1.6663,1.3634,0.818,0.7493,Medium,6,Kharif
