Division,District,Year,Season,Actual_Rainfall,Normal_Rainfall,Departure,Departure_Percentage,Classification,June_Normal,June_Actual,June_Percentage,July_Normal,July_Actual,July_Percentage,August_Normal,August_Actual,August_Percentage,September_Normal,September_Actual,September_Percentage,Source
Amravati,Amravati,2023,Monsoon,597.4,862.0,-264.6,-30.7,Deficit,145.7,57.5,39.5,277.4,313.6,113.0,285.4,58.4,20.5,153.5,167.9,109.4,Maharain Portal
Amravati,Buldhana,2023,Monsoon,576.4,659.4,-83.0,-12.59,Normal,139.3,35.1,25.2,192.2,273.4,142.2,207.4,76.1,36.7,120.5,191.8,159.2,Maharain Portal
Amravati,Washim,2023,Monsoon,670.8,789.0,-118.2,-14.98,Normal,166.4,57.8,34.7,243.6,372.9,153.1,236.1,76.8,32.5,142.9,163.3,114.3,Maharain Portal
Amravati,Yavatmal,2023,Monsoon,922.9,805.0,117.9,14.65,Normal,163.9,57.3,35.0,256.7,536.1,208.8,253.7,103.3,40.7,130.7,226.2,173.1,Maharain Portal
Chhatrapati Sambhajinagar,Beed,2023,Monsoon,449.1,566.1,-117.0,-20.67,Deficit,128.4,55.6,43.3,127.7,183.7,143.9,138.0,30.4,22.0,172.0,179.4,104.3,Maharain Portal
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2023,Monsoon,523.3,581.7,-58.4,-10.04,Normal,125.2,73.1,58.4,152.2,165.2,108.5,153.8,38.0,24.7,150.5,247.0,164.1,Maharain Portal
Chhatrapati Sambhajinagar,Dharashiv,2023,Monsoon,428.7,603.1,-174.4,-28.92,Deficit,126.9,33.6,26.5,137.1,227.7,166.1,154.4,26.9,17.4,184.7,140.5,76.1,Maharain Portal
Chhatrapati Sambhajinagar,Hingoli,2023,Monsoon,740.0,795.3,-55.3,-6.95,Normal,169.2,45.1,26.7,230.2,374.0,162.5,241.2,88.9,36.9,154.7,232.0,150.0,Maharain Portal
Chhatrapati Sambhajinagar,Jalna,2023,Monsoon,486.1,603.1,-117.0,-19.4,Deficit,132.6,61.0,46.0,166.4,187.0,112.4,162.3,48.7,30.0,141.8,189.4,133.6,Maharain Portal
Chhatrapati Sambhajinagar,Latur,2023,Monsoon,512.6,706.0,-193.4,-27.39,Deficit,135.4,60.8,44.9,186.9,251.9,134.8,202.7,27.9,13.8,181.0,172.0,95.0,Maharain Portal
Chhatrapati Sambhajinagar,Nanded,2023,Monsoon,883.1,814.4,68.7,8.44,Normal,155.4,45.9,29.5,244.3,521.2,213.3,247.3,98.4,39.8,167.4,217.6,130.0,Maharain Portal
Chhatrapati Sambhajinagar,Parbhani,2023,Monsoon,522.5,761.3,-238.8,-31.37,Deficit,145.3,55.5,38.2,219.2,211.1,96.3,227.8,72.2,31.7,169.0,183.7,108.7,Maharain Portal
Konkan,Palghar,2023,Monsoon,2686.5,2305.4,381.1,16.53,Normal,411.9,557.2,135.3,905.0,1501.6,165.9,669.7,201.3,30.1,318.8,426.4,133.8,Maharain Portal
Konkan,Raigad,2023,Monsoon,3158.6,3148.6,10.0,0.32,Normal,655.8,459.1,70.0,1206.2,1904.6,157.9,874.5,306.0,35.0,412.1,488.9,118.6,Maharain Portal
Konkan,Ratnagiri,2023,Monsoon,3017.4,3195.1,-177.7,-5.56,Normal,813.5,427.1,52.5,1151.6,1675.0,145.4,835.9,400.8,47.9,394.1,514.5,130.6,Maharain Portal
Konkan,Sindhudurg,2023,Monsoon,2915.6,2940.5,-24.9,-0.85,Normal,880.1,461.9,52.5,1043.6,1705.2,163.4,689.2,315.5,45.8,327.6,433.0,132.2,Maharain Portal
Konkan,Thane,2023,Monsoon,2670.2,2433.4,236.8,9.73,Normal,461.9,469.8,101.7,942.3,1455.0,154.4,691.3,257.7,37.3,337.9,487.7,144.3,Maharain Portal
Nagpur,Bhandara,2023,Monsoon,1142.4,1157.0,-14.6,-1.26,Normal,189.3,167.2,88.3,382.6,444.9,116.3,387.6,250.4,64.6,197.5,279.9,141.7,Maharain Portal
Nagpur,Chandrapur,2023,Monsoon,1090.7,1084.0,6.7,0.62,Normal,183.5,87.9,47.9,357.2,549.2,153.8,362.9,189.7,52.3,180.4,263.9,146.3,Maharain Portal
Nagpur,Gadchiroli,2023,Monsoon,1434.5,1254.1,180.4,14.38,Normal,210.9,140.3,66.5,427.9,649.5,151.8,426.5,314.6,73.8,188.8,330.1,174.8,Maharain Portal
Nagpur,Gondia,2023,Monsoon,1126.2,1220.3,-94.1,-7.71,Normal,192.8,215.7,111.9,414.9,411.9,99.3,413.9,188.4,45.5,198.7,310.2,156.1,Maharain Portal
Nagpur,Nagpur,2023,Monsoon,953.8,920.4,33.4,3.63,Normal,166.3,111.6,67.1,304.4,382.8,125.8,281.3,170.2,60.5,168.4,289.2,171.7,Maharain Portal
Nagpur,Wardha,2023,Monsoon,852.9,874.5,-21.6,-2.47,Normal,174.1,65.2,37.4,273.6,400.0,146.2,271.6,131.2,48.3,155.2,256.5,165.3,Maharain Portal
Nashik,Ahmednagar,2023,Monsoon,408.0,448.1,-40.1,-8.95,Normal,108.2,58.0,53.6,97.5,108.8,111.6,95.4,25.5,26.7,147.0,215.7,146.7,Maharain Portal
Nashik,Dhule,2023,Monsoon,433.7,535.1,-101.4,-18.95,Normal,121.5,71.3,58.7,170.9,156.3,91.5,133.2,40.9,30.7,109.5,165.2,150.9,Maharain Portal
Nashik,Jalgaon,2023,Monsoon,581.6,632.6,-51.0,-8.06,Normal,123.7,45.1,36.5,189.2,255.4,135.0,196.1,47.6,24.3,123.6,233.5,188.9,Maharain Portal
Nashik,Nandurbar,2023,Monsoon,682.5,860.4,-177.9,-20.68,Deficit,155.9,90.0,57.7,305.6,266.6,87.2,252.2,68.4,27.1,146.7,257.5,175.5,Maharain Portal
Nashik,Nashik,2023,Monsoon,642.8,933.8,-291.0,-31.16,Deficit,174.4,92.5,53.0,308.9,233.7,75.7,266.9,73.0,27.4,183.6,243.6,132.7,Maharain Portal
Pune,Kolhapur,2023,Monsoon,973.1,1733.1,-760.0,-43.85,Deficit,362.9,93.7,25.8,685.5,601.3,87.7,485.9,132.0,27.2,198.8,146.1,73.5,Maharain Portal
Pune,Pune,2023,Monsoon,656.9,861.6,-204.7,-23.76,Deficit,176.2,90.7,51.5,309.3,281.1,90.9,219.6,86.3,39.3,156.5,198.8,127.0,Maharain Portal
Pune,Sangli,2023,Monsoon,353.7,514.5,-160.8,-31.25,Deficit,129.0,35.7,27.7,135.5,172.1,127.0,111.4,33.3,29.9,138.6,112.6,81.2,Maharain Portal
Pune,Satara,2023,Monsoon,579.8,886.2,-306.4,-34.57,Deficit,194.1,85.8,44.2,307.2,305.1,99.3,224.8,80.2,35.7,160.1,108.7,67.9,Maharain Portal
Pune,Solapur,2023,Monsoon,367.8,481.1,-113.3,-23.55,Deficit,102.5,28.8,28.1,94.8,179.7,189.6,107.5,20.3,18.9,176.3,139.0,78.8,Maharain Portal
Amravati,Akola,2024,Monsoon,811.2,693.7,117.5,16.94,Normal,136.9,139.3,101.8,223.2,316.2,141.7,215.5,198.4,92.1,118.1,157.3,133.2,Maharain Portal
Amravati,Amravati,2024,Monsoon,810.1,862.0,-51.9,-6.02,Normal,145.7,130.9,89.8,277.4,299.4,107.9,285.4,234.9,82.3,153.5,144.9,94.4,Maharain Portal
Amravati,Buldhana,2024,Monsoon,777.4,659.4,118.0,17.9,Normal,139.3,177.3,127.3,192.2,236.6,123.1,207.4,200.5,96.7,120.5,163.0,135.3,Maharain Portal
Amravati,Washim,2024,Monsoon,897.1,789.0,108.1,13.7,Normal,166.4,182.1,109.4,243.6,315.5,129.5,236.1,190.2,80.6,142.9,209.3,146.5,Maharain Portal
Amravati,Yavatmal,2024,Monsoon,984.3,805.0,179.3,22.27,Excess,163.9,182.3,111.2,256.7,424.3,165.3,253.7,173.4,68.3,130.7,204.3,156.3,Maharain Portal
Chhatrapati Sambhajinagar,Beed,2024,Monsoon,774.5,566.1,208.4,36.81,Excess,128.4,186.8,145.5,127.7,208.8,163.5,138.0,164.4,119.1,172.0,214.5,124.7,Maharain Portal
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2024,Monsoon,763.5,581.7,181.8,31.25,Excess,125.2,201.6,161.0,152.2,162.9,107.0,153.8,193.5,125.8,150.5,205.5,136.5,Maharain Portal
Chhatrapati Sambhajinagar,Dharashiv,2024,Monsoon,729.1,603.1,126.0,20.89,Excess,126.9,218.1,171.9,137.1,203.6,148.5,154.4,114.3,74.0,184.7,193.1,104.5,Maharain Portal
Chhatrapati Sambhajinagar,Hingoli,2024,Monsoon,891.1,795.3,95.8,12.05,Normal,169.2,149.1,88.1,230.2,276.5,120.1,241.2,150.0,62.2,154.7,315.5,203.9,Maharain Portal
Chhatrapati Sambhajinagar,Jalna,2024,Monsoon,812.9,603.1,209.8,34.79,Excess,132.6,196.4,148.1,166.4,186.8,112.3,162.3,203.3,125.3,141.8,226.4,159.7,Maharain Portal
Chhatrapati Sambhajinagar,Latur,2024,Monsoon,787.4,706.0,81.4,11.53,Normal,135.4,214.4,158.3,186.9,245.6,131.4,202.7,130.9,64.6,181.0,196.5,108.6,Maharain Portal
Chhatrapati Sambhajinagar,Nanded,2024,Monsoon,873.3,814.4,58.9,7.23,Normal,155.4,139.3,89.6,244.3,317.0,129.8,247.3,154.4,62.4,167.4,262.6,156.9,Maharain Portal
Chhatrapati Sambhajinagar,Parbhani,2024,Monsoon,827.4,761.3,66.1,8.68,Normal,145.3,170.4,117.3,219.2,235.2,107.3,227.8,153.8,67.5,169.0,268.0,158.6,Maharain Portal
Konkan,Palghar,2024,Monsoon,2492.1,2305.4,186.7,8.1,Normal,411.9,367.5,89.2,905.0,1135.7,125.5,669.7,539.8,80.6,318.8,449.1,140.9,Maharain Portal
Konkan,Raigad,2024,Monsoon,3018.1,3148.6,-130.5,-4.14,Normal,655.8,502.3,76.6,1206.2,1582.1,131.2,874.5,542.9,62.1,412.1,390.8,94.8,Maharain Portal
Konkan,Ratnagiri,2024,Monsoon,3721.0,3195.1,525.9,16.46,Normal,813.5,877.6,107.9,1151.6,1789.3,155.4,835.9,600.2,71.8,394.1,453.9,115.2,Maharain Portal
Konkan,Sindhudurg,2024,Monsoon,3665.4,2940.5,724.9,24.65,Excess,880.1,794.9,90.3,1043.6,1716.9,164.5,689.2,759.3,110.2,327.6,394.3,120.4,Maharain Portal
Konkan,Thane,2024,Monsoon,2471.3,2433.4,37.9,1.56,Normal,461.9,347.6,75.3,942.3,1217.9,129.2,691.3,520.6,75.3,337.9,385.2,114.0,Maharain Portal
Nagpur,Bhandara,2024,Monsoon,1232.5,1157.0,75.5,6.53,Normal,189.3,88.2,46.6,382.6,677.6,177.1,387.6,205.3,53.0,197.5,261.4,132.4,Maharain Portal
Nagpur,Chandrapur,2024,Monsoon,1278.6,1084.0,194.6,17.95,Normal,183.5,131.4,71.6,357.2,746.4,209.0,362.9,226.8,62.5,180.4,174.0,96.5,Maharain Portal
Nagpur,Gadchiroli,2024,Monsoon,1655.1,1254.1,401.0,31.98,Excess,210.9,145.2,68.8,427.9,932.4,217.9,426.5,321.0,75.3,188.8,256.5,135.9,Maharain Portal
Nagpur,Gondia,2024,Monsoon,1358.4,1220.3,138.1,11.32,Normal,192.8,108.4,56.2,414.9,593.5,143.0,413.9,298.5,72.1,198.7,358.0,180.2,Maharain Portal
Nagpur,Nagpur,2024,Monsoon,1025.2,920.4,104.8,11.39,Normal,166.3,145.3,87.4,304.4,482.5,158.5,281.3,181.6,64.6,168.4,215.8,128.1,Maharain Portal
Nagpur,Wardha,2024,Monsoon,1116.3,874.5,241.8,27.65,Excess,174.1,151.6,87.1,273.6,556.3,203.3,271.6,234.2,86.2,155.2,174.2,112.2,Maharain Portal
Nashik,Ahmednagar,2024,Monsoon,629.6,448.1,181.5,40.5,Excess,108.2,177.3,163.9,97.5,154.4,158.4,95.4,168.9,177.0,147.0,129.0,87.8,Maharain Portal
Nashik,Dhule,2024,Monsoon,701.0,535.1,165.9,31.0,Excess,121.5,156.6,128.9,170.9,227.9,133.4,133.2,196.0,147.1,109.5,120.5,110.0,Maharain Portal
Nashik,Jalgaon,2024,Monsoon,753.0,632.6,120.4,19.03,Normal,123.7,169.1,136.7,189.2,219.6,116.1,196.1,214.9,109.6,123.6,149.4,120.9,Maharain Portal
Nashik,Nandurbar,2024,Monsoon,1039.5,860.4,179.1,20.82,Excess,155.9,143.0,91.7,305.6,318.0,104.1,252.2,387.4,153.6,146.7,191.1,130.3,Maharain Portal
Nashik,Nashik,2024,Monsoon,919.8,933.8,-14.0,-1.5,Normal,174.4,143.9,82.5,308.9,266.4,86.2,266.9,349.4,130.9,183.6,160.1,87.2,Maharain Portal
Pune,Kolhapur,2024,Monsoon,1477.9,1733.1,-255.2,-14.73,Normal,362.9,200.8,55.3,685.5,799.0,116.6,485.9,337.5,69.5,198.8,140.6,70.7,Maharain Portal
Pune,Pune,2024,Monsoon,1052.5,861.6,190.9,22.16,Excess,176.2,171.3,97.2,309.3,443.2,143.3,219.6,302.7,137.8,156.5,135.3,86.5,Maharain Portal
Pune,Sangli,2024,Monsoon,871.4,514.5,356.9,69.37,Large Excess,129.0,226.2,175.3,135.5,283.6,209.3,111.4,221.3,198.7,138.6,140.3,101.2,Maharain Portal
Pune,Satara,2024,Monsoon,1128.4,886.2,242.2,27.33,Excess,194.1,238.2,122.7,307.2,485.1,157.9,224.8,281.9,125.4,160.1,123.2,77.0,Maharain Portal
Pune,Solapur,2024,Monsoon,622.1,481.1,141.0,29.31,Excess,102.5,228.3,222.7,94.8,123.7,130.5,107.5,124.7,116.0,176.3,145.4,82.5,Maharain Portal
Amravati,Akola,2025,Monsoon,731.7,693.7,38.0,5.48,Normal,136.9,155.8,113.8,223.2,168.6,75.5,215.5,235.0,109.0,118.1,172.3,145.9,Maharain Portal
Amravati,Amravati,2025,Monsoon,757.4,862.0,-104.6,-12.13,Normal,145.7,105.9,72.7,277.4,222.5,80.2,285.4,245.7,86.1,153.5,183.3,119.4,Maharain Portal
Amravati,Buldhana,2025,Monsoon,721.9,659.4,62.5,9.48,Normal,139.3,161.5,115.9,192.2,175.2,91.2,207.4,196.5,94.7,120.5,188.7,156.6,Maharain Portal
Amravati,Washim,2025,Monsoon,1065.5,789.0,276.5,35.04,Excess,166.4,215.7,129.6,243.6,210.5,86.4,236.1,345.4,146.3,142.9,293.9,205.7,Maharain Portal
Amravati,Yavatmal,2025,Monsoon,1050.8,805.0,245.8,30.53,Excess,163.9,179.8,109.7,256.7,250.7,97.7,253.7,300.6,118.5,130.7,319.7,244.6,Maharain Portal
Chhatrapati Sambhajinagar,Beed,2025,Monsoon,911.6,566.1,345.5,61.03,Large Excess,128.4,58.4,45.5,127.7,145.3,113.8,138.0,278.9,202.1,172.0,429.0,249.4,Maharain Portal
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2025,Monsoon,831.1,581.7,249.4,42.87,Excess,125.2,138.9,110.9,152.2,157.4,103.4,153.8,189.4,123.1,150.5,345.4,229.5,Maharain Portal
Chhatrapati Sambhajinagar,Dharashiv,2025,Monsoon,975.3,603.1,372.2,61.71,Large Excess,126.9,98.6,77.7,137.1,141.6,103.3,154.4,270.5,175.2,184.7,464.6,251.5,Maharain Portal
Chhatrapati Sambhajinagar,Hingoli,2025,Monsoon,1136.5,795.3,341.2,42.9,Excess,169.2,132.0,78.0,230.2,239.4,104.0,241.2,353.1,146.4,154.7,412.0,266.3,Maharain Portal
Chhatrapati Sambhajinagar,Jalna,2025,Monsoon,847.2,603.1,244.1,40.47,Excess,132.6,114.2,86.1,166.4,240.7,144.7,162.3,193.6,119.3,141.8,298.7,210.6,Maharain Portal
Chhatrapati Sambhajinagar,Latur,2025,Monsoon,927.8,706.0,221.8,31.42,Excess,135.4,74.5,55.0,186.9,140.1,75.0,202.7,345.3,170.4,181.0,367.9,203.3,Maharain Portal
Chhatrapati Sambhajinagar,Nanded,2025,Monsoon,1116.3,814.4,301.9,37.07,Excess,155.4,145.4,93.6,244.3,204.6,83.7,247.3,451.3,182.5,167.4,315.0,188.2,Maharain Portal
Chhatrapati Sambhajinagar,Parbhani,2025,Monsoon,924.6,761.3,163.3,21.45,Excess,145.3,81.1,55.8,219.2,228.0,104.0,227.8,262.6,115.3,169.0,352.9,208.8,Maharain Portal
Konkan,Palghar,2025,Monsoon,2566.9,2305.4,261.5,11.34,Normal,411.9,577.8,140.3,905.0,643.4,71.1,669.7,663.1,99.0,318.8,682.6,214.1,Maharain Portal
Konkan,Raigad,2025,Monsoon,2653.1,3148.6,-495.5,-15.74,Normal,655.8,696.9,106.3,1206.2,781.1,64.8,874.5,743.0,85.0,412.1,432.1,104.9,Maharain Portal
Konkan,Ratnagiri,2025,Monsoon,3113.0,3195.1,-82.1,-2.57,Normal,813.5,746.3,91.7,1151.6,941.2,81.7,835.9,977.7,117.0,394.1,447.8,113.6,Maharain Portal
Konkan,Sindhudurg,2025,Monsoon,2755.3,2940.5,-185.2,-6.3,Normal,880.1,667.0,75.8,1043.6,967.6,92.7,689.2,843.4,122.4,327.6,277.3,84.6,Maharain Portal
Konkan,Thane,2025,Monsoon,2617.2,2433.4,183.8,7.55,Normal,461.9,539.4,116.8,942.3,764.5,81.1,691.3,733.2,106.1,337.9,580.1,171.7,Maharain Portal
Nagpur,Bhandara,2025,Monsoon,1146.9,1157.0,-10.1,-0.87,Normal,189.3,97.5,51.5,382.6,548.3,143.3,387.6,241.5,62.3,197.5,259.6,131.4,Maharain Portal
Nagpur,Chandrapur,2025,Monsoon,1257.5,1084.0,173.5,16.01,Normal,183.5,152.8,83.3,357.2,450.4,126.1,362.9,307.6,84.8,180.4,346.7,192.2,Maharain Portal
Nagpur,Gadchiroli,2025,Monsoon,1634.2,1254.1,380.1,30.31,Excess,210.9,217.9,103.3,427.9,634.8,148.4,426.5,389.6,91.3,188.8,391.9,207.6,Maharain Portal
Nagpur,Gondia,2025,Monsoon,1213.6,1220.3,-6.7,-0.55,Normal,192.8,113.5,58.9,414.9,599.4,144.5,413.9,249.7,60.3,198.7,251.0,126.3,Maharain Portal
Nagpur,Nagpur,2025,Monsoon,996.2,920.4,75.8,8.24,Normal,166.3,97.8,58.8,304.4,449.3,147.6,281.3,218.3,77.6,168.4,230.8,137.1,Maharain Portal
Nagpur,Wardha,2025,Monsoon,1018.2,874.5,143.7,16.43,Normal,174.1,126.0,72.4,273.6,342.0,125.0,271.6,254.5,93.7,155.2,295.7,190.5,Maharain Portal
Nashik,Ahmednagar,2025,Monsoon,588.7,448.1,140.6,31.38,Excess,108.2,80.2,74.1,97.5,63.1,64.7,95.4,130.3,136.6,147.0,315.1,214.4,Maharain Portal
Nashik,Dhule,2025,Monsoon,598.4,535.1,63.3,11.83,Normal,121.5,130.7,107.6,170.9,106.6,62.4,133.2,148.8,111.7,109.5,212.3,193.9,Maharain Portal
Nashik,Jalgaon,2025,Monsoon,683.0,632.6,50.4,7.97,Normal,123.7,123.8,100.1,189.2,120.3,63.6,196.1,226.0,115.2,123.6,212.9,172.2,Maharain Portal
Nashik,Nandurbar,2025,Monsoon,688.6,860.4,-171.8,-19.97,Deficit,155.9,134.2,86.1,305.6,117.8,38.5,252.2,209.2,83.0,146.7,227.4,155.0,Maharain Portal
Nashik,Nashik,2025,Monsoon,843.4,933.8,-90.4,-9.68,Normal,174.4,223.5,128.2,308.9,201.6,65.3,266.9,157.9,59.2,183.6,260.4,141.8,Maharain Portal
Pune,Kolhapur,2025,Monsoon,1231.2,1733.1,-501.9,-28.96,Deficit,362.9,391.8,108.0,685.5,351.5,51.3,485.9,328.5,67.6,198.8,159.4,80.2,Maharain Portal
Pune,Pune,2025,Monsoon,854.8,861.6,-6.8,-0.79,Normal,176.2,248.7,141.1,309.3,234.3,75.8,219.6,176.8,80.5,156.5,195.0,124.6,Maharain Portal
Pune,Sangli,2025,Monsoon,618.4,514.5,103.9,20.19,Excess,129.0,154.7,119.9,135.5,119.9,88.5,111.4,141.1,126.7,138.6,202.7,146.2,Maharain Portal
Pune,Satara,2025,Monsoon,804.1,886.2,-82.1,-9.26,Normal,194.1,244.7,126.1,307.2,191.5,62.3,224.8,183.7,81.7,160.1,184.2,115.1,Maharain Portal
Pune,Solapur,2025,Monsoon,694.6,481.1,213.5,44.38,Excess,102.5,64.9,63.3,94.8,88.9,93.8,107.5,175.0,162.8,176.3,365.8,207.5,Maharain Portal
